,open,high,low,close,sma5,sma10,sma30,sma60,macd,macd_signal,stoch_d,stoch_k,stoch_j,ts_create_utc,dt,ts_send_utc,ema30_5_span_grad,macd_5_span_grad,macd_signal_5_span_grad,initial_invest_amount_today,invest_amount,transaction_type,transaction_price,transaction_current_gain,profits,accumulate_gain_in_a_day,stop_trade_flg,macd_golden_cross,macd_dead_cross,continuous_macd_golden_cross_count,stoch_golden_cross,stoch_dead_cross,stoch_all_dead_cross,bought_price,sold_price,my_money,trade_count,is_long_position,long_position_period,purchase_price,stop_trading_this_minute,stop_trading_today,prev_gain,current_gain,total_profit_in_a_day,gain_is_negative_from_prev
5665,59349.03,59349.03,59305.18,59305.18,59344.538,59351.99500000001,59377.07033333334,59373.46716666667,-12.999734542012447,-6.130942915158052,16.64095574697986,8.152727182667379,-8.82372994595758,2024-08-17 21:19:59,2024-08-17,2024-08-17 21:20:11,-0.3780666666658362,-1.4278973092266825,-1.242600457900401,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5666,59310.03,59312.2,59303.74,59312.2,59334.578,59344.904,59374.744999999995,59371.011333333336,-15.38397248918045,-7.981550787049202,9.39905813731608,3.3653326581454066,-8.702118300195941,2024-08-17 21:20:59,2024-08-17,2024-08-17 21:21:11,-1.0772666666685837,-1.817218313641206,-1.3575248523693242,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5667,59312.0,59312.15,59248.53,59251.66,59312.78400000001,59333.526,59370.54333333333,59367.96633333334,-21.906048611956066,-10.766449016457154,4.958392409722349,3.357117388354263,0.1545673456180907,2024-08-17 21:21:59,2024-08-17,2024-08-17 21:22:02,-1.890866666668444,-3.0455547837511405,-1.695130442267119,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5668,59245.89,59245.89,59183.58,59196.93,59280.562,59319.28700000001,59364.341333333316,59364.00916666667,-31.132224438850244,-14.839606503577329,4.080900597410882,5.520251745732977,8.398954042377165,2024-08-17 21:22:59,2024-08-17,2024-08-17 21:23:12,-3.234333333338145,-4.8050839495524995,-2.3171223542108748,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5669,59196.97,59212.65,59196.97,59212.65,59255.724,59305.083000000006,59359.42333333332,59360.74000000001,-36.751907921432576,-19.22206682104646,5.468401334170519,7.527834868424317,11.646701936931912,2024-08-17 21:23:59,2024-08-17,2024-08-17 21:24:02,-4.037133333337261,-5.539835787130869,-2.9616650159758535,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5670,59213.15,59227.17,59212.96,59227.17,59240.121999999996,59292.33,59354.70033333332,59357.82733333334,-39.57767798995337,-23.293188967788375,8.994835015659225,13.936418432820384,23.819585267142703,2024-08-17 21:24:59,2024-08-17,2024-08-17 21:25:05,-4.474000000003434,-5.315588689588185,-3.4324492105260647,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5671,59234.29,59245.99,59201.31,59201.31,59217.943999999996,59276.26100000001,59348.47999999998,59355.16716666668,-43.403479701126344,-27.315248285084415,12.043164249852367,14.6652394483124,19.909389845232468,2024-08-17 21:25:59,2024-08-17,2024-08-17 21:26:07,-5.253000000002794,-5.603901442389178,-3.8667394996070428,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5672,59188.89,59200.26,59182.84,59182.84,59204.18000000001,59258.481999999996,59343.078333333324,59352.32483333333,-47.379668770438,-31.328136310476552,12.85220383468384,9.954953622918735,4.160453199388524,2024-08-17 21:26:59,2024-08-17,2024-08-17 21:27:14,-5.493000000000757,-5.094724031696387,-4.11233745880388,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5673,59184.65,59190.99,59184.65,59190.99,59202.992000000006,59241.777,59335.959666666655,59349.754333333345,-49.30483377524797,-34.92347767113579,9.676161311885094,4.408290864424146,-6.1274500304977515,2024-08-17 21:27:59,2024-08-17,2024-08-17 21:28:19,-5.67633333333215,-3.6345218672795454,-4.0167742335116925,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5674,59200.31,59225.11,59200.31,59225.11,59205.484,59230.60399999999,59329.713333333326,59347.609833333336,-47.5294540329196,-37.444676946377896,7.914686219057767,9.38081416983042,12.313070071375726,2024-08-17 21:28:59,2024-08-17,2024-08-17 21:29:08,-5.94199999999837,-2.1555092222974053,-3.644522025066287,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
